identifier,bibliographicCitation
https://doi.org/10.4289/0013-8797.119.4.660,"Buffington, M.L., Prasifka, J.R., Gates, M.W., Kula, R.R., & Peterson, K. (2017). New host plant and distribution records for Antistrophus laciniatus Gillette, 1891 (Hymenoptera: Cynipidae), an herb gall wasp on Silphium integrifolium Michx.(Asteraceae), with notes on other S. integrifolium-associated wasps. Proceedings of the Entomological Society of Washington, 119(4), 660-666. https://doi.org/10.4289/0013-8797.119.4.660"
https://doi.org/10.5962/bhl.title.5074,"Burks, B.D. (1979). Superfamily Cynipoidea. In: Krombein, K.V., Hurd Jr. P.D., Smith D.R., Burks B.D. (Eds) Catalog of Hymenoptera in America North of Mexico. Symphyta and Apocrita (Parasitica) (Vol. 1). Smithsonian Institution Press, Washington, DC, 1045–1059. https://doi.org/10.5962/bhl.title.5074"
https://www.biodiversitylibrary.org/page/16252757,"Burnett, J.A. (1976). Synergus stelluli, new species from Southern California (USA) associated with Andricus stellulus (Hymenoptera: Cynipidae). Proceeding of the Entomological Society of Washington, 78(3), 270–273. https://www.biodiversitylibrary.org/page/16252757"
https://www.biodiversitylibrary.org/page/588130,"Cameron, P. (1883–1900). Biologia Centrali-Americana. Insecta. Hymenoptera. (Families Tenthredinidæ-Chrysididæ). Vol. I. - pp. i-xii [= 1-12], 1-487, [1], Tab. 1-20. London. (Quaritch). https://www.biodiversitylibrary.org/page/588130"
https://www.biodiversitylibrary.org/page/27499578,"Cockerell, T.D.A. (1888). A New rose-gall. The West American Scientist (4), 60. https://www.biodiversitylibrary.org/page/27499578"
https://www.biodiversitylibrary.org/page/30321290,"Cockerell, T.D.A. (1889). Notes from Colorado. Entomologists Monthly Magazine, 25, 325-363. https://www.biodiversitylibrary.org/page/30321290"
https://hdl.handle.net/2027/mdp.39015071238888,"Cook, M.T. (1910). Insect galls of Michigan. Michigan Geological and Biological Survey. 1, 23-33. https://hdl.handle.net/2027/mdp.39015071238888"
https://doi.org/10.5962/t.171559,"Curtis, J. (1838) British entomology : being illustrations and descriptions of the genera of insects found in Great Britain and Ireland: containing coloured figures from nature of the most rare and beautiful species, and in many instances of the plants upon which they are found. Volume III. London : Printed for the author, 1823-1840. https://doi.org/10.5962/t.171559"
https://www.biodiversitylibrary.org/page/56375556,"Dailey, C.D., & Campbell, L. (1973). A new species of Diplolepis from California (Hymenoptera: Cynipidae). Pan-Pacific Entomologist, 49, 174-176. https://www.biodiversitylibrary.org/page/56375556"
https://hdl.handle.net/2027/wu.89041294323,"Felt, E.P. (1940). Plant galls and gall makers. Plant galls and gall makers. Ithaca, N. Y., Comstock Publishing Company, Inc. viii, 364 pp. https://hdl.handle.net/2027/wu.89041294323"
https://www.biodiversitylibrary.org/page/54773024,"Fitch, A. (1859). Reports on the noxious, beneficial and other insects, of the state of New York. Made to the State agricultural society, pursuant to an annual appropriation for this purpose from the legislature of the state., volume 5. Albany,C. Van Benthuysen, printer [etc.]. Other authors include ThomasSay, Anna Botsford Comstock, and the New York State Agricultural Society. https://www.biodiversitylibrary.org/page/54773024"
https://www.biodiversitylibrary.org/page/16270725,"Fullaway, D.T. (1911). Monograph of the gall making Cynipidae (Cynipinae) of California. Annals of the Entomological Society of America, 4, 331-381. https://www.biodiversitylibrary.org/page/16270725"
https://doi.org/10.21900/j.inhs.v3.193,"Gillette, C.P. (1891). Descriptions of new Cynipidae in the collection of the Illinois State Laboratory of Natural History. Illinois Natural History Survey Bulletin, 3(1-15), 191-205. https://doi.org/10.21900/j.inhs.v3.193"
https://doi.org/10.4039/ent25110-4,"Gillette, C.P. (1893). Two new cynipids from Washington state. The Canadian Entomologist, 25(4), 110-111. https://doi.org/10.4039/ent25110-4"
https://www.biodiversitylibrary.org/page/27851636,"Gillette, C.P. (1894). New Cynipidae. The Canadian Entomologist, 26(6), 157-159. https://www.biodiversitylibrary.org/page/27851636"
http://www.jstor.org/stable/25076660,"Gillette, C.P. (1896). A Monograph of the Genus Synergus Hartig. Transactions of the American Entomological Society, 23(1), 85-100. http://www.jstor.org/stable/25076660"
https://scholar.valpo.edu/tgle/vol36/iss2/5,"Gordinier, H.C. (2003). Biology of Diastrophus nebulosus (Hymenoptera: Cynipidae) and its parasitoid/inquiline complex in galls on Rubus flagellaris (Rosaceae). The Great Lakes Entomologist, 36(3-4), 129-151. https://scholar.valpo.edu/tgle/vol36/iss2/5"
https://doi.org/10.5962/bhl.title.42001,"Harris, T.W. (1841). A report on the insects of Massachusetts injurious to vegetation. Massachusetts Commissioners on the Zoological and Botanical Survey of the State. Cambridge: Folsom, Wells, and Thurston, printers to the University. 482 pp. https://doi.org/10.5962/bhl.title.42001"
https://hdl.handle.net/2027/njp.32101075693778,"Karsch, F. (1880). Neue Zoocecidien und Cecidozoën. Zeitschrift für die Gesammten Naturwissenschaften, 53, 286–309, 2 pls. https://hdl.handle.net/2027/njp.32101075693778"
https://doi.org/10.5962/bhl.title.10281,"Kieffer, J.J. (1901). Les Cynipides. Vol. 7, Species des Hyménoptères d'Europe et d'Algérie. Ernest André edit., Paris. https://doi.org/10.5962/bhl.title.10281"
https://www.biodiversitylibrary.org/page/33701078,"Kieffer, J.J. (1904). Diagnoses de quelques nouveaux cynipides de Californie. Bulletin de la Société d’Histoire Naturelle de Metz, 2(11), 131–133. https://www.biodiversitylibrary.org/page/33701078"
https://hdl.handle.net/2027/njp.32101076432150?urlappend=%3Bseq=186,"Kinsey, A.C. & Ayres, K.D. (1922). Varieties of a rose gall wasp (Cynipidae, Hymenoptera). Indiana University Studies, 9, 142-171. https://hdl.handle.net/2027/njp.32101076432150?urlappend=%3Bseq=186"
https://doi.org/10.5962/bhl.title.122602,"Kinsey, A.C. (1920). Life histories of American Cynipidae. Bulletin of the American Museum of Natural History, 42, 319–357. https://doi.org/10.5962/bhl.title.122602"
http://hdl.handle.net/2246/1148,"Kinsey, A.C. (1920). New species and synonymy of American Cynipidae. Bulletin of the American Museum of Natural History, 42, 293-317. http://hdl.handle.net/2246/1148"
https://hdl.handle.net/2027/njp.32101076432150?urlappend=%3Bseq=47,"Kinsey, A.C. (1922). Studies of some new and described Cynipidae (Hymenoptera). Indiana University Studies, 53, 3–141. https://hdl.handle.net/2027/njp.32101076432150?urlappend=%3Bseq=47"
https://scholar.valpo.edu/tgle/vol23/iss4/3,"Kraft, J.K. & Erbisch, F.H. (1990). The thimbleberry gallmaker, Diastrophus kincaidii (Hymenoptera: Cynipidae), in the Great Lakes Region. Great Lakes Entomologist, 23: 195-200. https://scholar.valpo.edu/tgle/vol23/iss4/3"
https://doi.org/10.5962/bhl.title.542,"Linnaeus, C. (1758). Systema naturae per regna tria naturae :secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis. 10th edition. Laurentii Salvii: Stockholm. https://doi.org/10.5962/bhl.title.542"
https://doi.org/10.6620/ZS.2017.56-36,"Lobato-Vila, I. & Pujade-Villar, J. (2017). Description of Five New Species of Inquiline Oak Gall Wasps of the Genus Synergus Hartig (Hymenoptera, Cynipidae: Synergini) with Partially Smooth Mesopleurae From Mexico. Zoological Studies, 56, e36. https://doi.org/10.6620/ZS.2017.56-36"
http://www.entomologia.socmexent.org/revista/2018/EF/EF%20445-453.pdf,"Lobato-Vila, I. & Pujade-Villar, J. (2018). Estado actual del conocimiento de la diversidad de inquilinos de agallas de cinípidos en encinos de México (Hymenoptera: Cynipidae). Entomología Mexicana, 5, 435-443. http://www.entomologia.socmexent.org/revista/2018/EF/EF%20445-453.pdf"
https://doi.org/10.11646/zootaxa.4685.1.1,"Lobato-Vila, I. & Pujade-Villar, J. (2019). Revision of world Ceroptresini (Hymenoptera: Cynipidae) with the description of a new genus and five new species. Zootaxa, 4685, 1–67. https://doi.org/10.11646/zootaxa.4685.1.1"
https://doi.org/10.4289/0013-8797.121.2.193,"Lobato-Vila, I., Cibrián-Tovar, D., Barrera-Ruíz, U.M., Equihua-Martínez, A., Estrada-Venegas, E.G., Buffington, M.L., & Pujade-Villar, J. (2019). Review of the Synergus Hartig species (Hymenoptera: Cynipidae: Synergini) associated with tuberous and other tumor-like galls on oaks from the New World with the description of three new species from Mexico. Proceedings of the Entomological Society of Washington, 121(2), 193-255. https://doi.org/10.4289/0013-8797.121.2.193"
https://doi.org/10.4289/0013-8797.122.3.678,"Lobato-Vila, I., Cibrián-Tovar, D., Barrera-Ruíz, U.M., Equihua-Martínez, A., Estrada-Venegas, E.G., Tovar-Sánchez, E., Buffington, M.L., & Pujade-Villar, J. (2020). Review of the Synergus Hartig Species (Hymenoptera: Cynipidae: Synergini) Associated with Woolly Galls on Oaks from the New World, with the Description of a New Species from Mexico. Proceedings of the Entomological Society of Washington, 122(3), 678-715. https://doi.org/10.4289/0013-8797.122.3.678"
https://doi.org/10.3958/059.043.0304,"Lobato-Vila, I., Cibrián-Tovar, D., Barrera-Ruíz, U.M., & Pujade-Villar, J. (2018). Study of the Inquiline Oak Gall Wasp Fauna Emerged from Agamic Galls of Andricus quercuslaurinus Melika and Pujade-Villar, 2009 from Mexico. Southwestern Entomologist. 43(3), 591-610. https://doi.org/10.3958/059.043.0304"
https://doi.org/10.11646/zootaxa.4822.1.1,"Lobato-Vila, I., Equihua-Martínez, A., Estrada-Venegas, E.G., Cibrián-Tovar, D., Barrera-Ruiz, U.M., & Pujade-Villar, J. (2020). Synergus Hartig species group (Hymenoptera: Cynipidae: Synergini) with partially smooth mesopleurae from the New World. Zootaxa, 4822(1), 1-38. https://doi.org/10.11646/zootaxa.4822.1.1"
"https://scholar.google.com/scholar?cluster=15705861137458690783&hl=es&as_sdt=5,39","Lobato-Vila, I., Equihua-Martínez, A., Estrada-Venegas, E.G., Lomelí-Flores, J.R., Serrano-Muñoz, M., Carbral, O., Treto, R., Landa, L., Carrillo, C., Cibrián-Tovar, D., & Cibrián-Llanderal, V.D. (2012). Aportaciones de los dos últimos años en el conocimiento de los Cynipidae mexicanos (Hym., Cynipidae, Cynipini) y perspectivas futuras. Entomología Mexicana 11(2), 1057-1062."
https://www.biodiversitylibrary.org/page/56138670,"Lyon, R.J. (1996) New cynipid wasps from the southwestern United States (Hymenoptera: Cynipidae). Pan-Pacific Entomologist, 72(4), 181–192. https://www.biodiversitylibrary.org/page/56138670"
https://hdl.handle.net/2027/mdp.39015068533523,"McCracken, M. I., & Egbert, D. B. (1922). California gall-making Cynipidae: With descriptions of new species (Vol. 3, No. 1-4). Stanford University Press. https://hdl.handle.net/2027/mdp.39015068533523"
http://biozoojournals.ro/nwjz/content/v8n2/nwjz.121122.Melika.pdf,"Melika, G., & Karimpour, Y. (2012). Herb gallwasp fauna of Iran (Hymenoptera: Cynipidae, Aylacini). North-Western Journal of Zoology, 8(2), 268–277. http://biozoojournals.ro/nwjz/content/v8n2/nwjz.121122.Melika.pdf"
https://doi.org/10.1653/0015-4040(2002)085[0625:dotsgo]2.0.co;2,"Melika, G. & Buss, E.A. (2002). Description of the sexual generation of Callirhytis quercuscornigera and a new inquiline (Hymenoptera: Cynipidae). Florida Entomologist, 85(4), 625–631. https://doi.org/10.1653/0015-4040(2002)085[0625:dotsgo]2.0.co;2"
https://hdl.handle.net/2027/coo.31924053828368,"Niblett, M. (1946). British Gall causing Cynipidae 5. The Entomologist, London, 79, 264–6. https://hdl.handle.net/2027/coo.31924053828368"
https://www.biodiversitylibrary.org/page/25455691,"Osten Sacken, B.R. (1861). Ueber die Gallen und andere durch Insecten hervorgebrachte Pflanzendeformationen in Nord-America. Stettiner Entomologische Zeitung 22(1–3), 405–423. https://www.biodiversitylibrary.org/page/25455691"
https://www.biodiversitylibrary.org/page/3328764,"Osten Sacken, B.R. (1861). On the Cynipidae of the North American oaks and their galls. Proceedings of the Entomological Society of Philadelphia, 1(3), 47–72. https://www.biodiversitylibrary.org/page/3328764"
https://www.biodiversitylibrary.org/page/3328802,"Osten Sacken, B.R. (1862). Additions and corrections to the paper entitled: “On the Cynipidae of the North American oaks and their galls,” Proceedings of the Entomological Society of Philadelphia, 1(3), 241-259. https://www.biodiversitylibrary.org/page/3328802"
https://www.biodiversitylibrary.org/page/57090290,"Osten Sacken, B.R. (1863). Contributions to the Natural History of the Cynipidae of the United States and their Galls (Article 3). Proclamations of the Entomological Society of Philadelphia, 2, 33-49. https://www.biodiversitylibrary.org/page/57090290"
https://www.biodiversitylibrary.org/page/3784312,"Osten Sacken, B.R. (1865). Contributions to the Natural History of the Cynipidae of the United States and their Galls (Article 4). Proclamations of the Entomological Society of Philadelphia, 4, 331-380. https://www.biodiversitylibrary.org/page/3784312"
https://doi.org/10.1111/j.1365-3113.2009.00482.x,"Pénzes, Z., Melika, G., Bozsóki, Z., Bihari, P., Mikó, I., Tavakoli, M., Pujade-Villar, J., Fehér, B., Fülöp, D., Szabó, K., Bozsó, M., Sipos, B., Somogyi, K. & Stone, G.N. (2009). Systematic re-appraisal of the gall-usurping wasp genus Synophrus Hartig, 1843 (Hymenoptera: Cynipidae: Synergini). Systematic Entomology, 34(4): 688–711. https://doi.org/10.1111/j.1365-3113.2009.00482.x"
https://mbd-db.osu.edu/hol/publications/3cb48f5c-1f33-42e4-a014-4c7479d1dc8d,"Pénzes, Z., Tang, C.T., Bihari, P., Bozsó, M., Schwéger, S. & Melika, G. (2012). Oak associated inquilines (Hymenoptera, Cynipidae, Synergini). TISCIA Monograph Series, 11, 1–76. https://mbd-db.osu.edu/hol/publications/3cb48f5c-1f33-42e4-a014-4c7479d1dc8d"
https://www.biodiversitylibrary.org/page/32180822,"Provancher, L.L. (1888). Additions et corrections au Volume II de la faune entomologique du Canada traitant des Hyménoptères. Naturaliste Canadienne,Quebec, 17, 273–440. https://www.biodiversitylibrary.org/page/32180822"
https://www.biodiversitylibrary.org/page/26586197,"Provancher, L.L. (1886). Additions et corrections à la faune hyménoptérologique de la province de Québec. 1981. https://www.biodiversitylibrary.org/page/26586197"
http://sea-entomologia.org/Publicaciones/PDF/BOLN_37/215_218BolnSEA37Synergus.pdf,"Pujade-Villar, J., & Melika, G. (2005). Synergus castanopsidis (Beutenmüller, 1918) and Synergus mexicanus Gillette, 1896, two conflictive cynipid inquiline species from America (Hymenoptera, Cynipidae: Synergini). Boletín Sociedad Entomológica Aragonesa, (37), 215-218. http://sea-entomologia.org/Publicaciones/PDF/BOLN_37/215_218BolnSEA37Synergus.pdf"
https://mbd-db.osu.edu/hol/publications/612933b9-f4cf-4bdc-8359-74d7bc74f118,"Pujade-Villar, J. & Plantard, O. (2002). About the validity of Diplolepis fructuum (Rübsaamen) and some new synonyms in Diplolepis nervosa (Curtis) (Hymenoptera: Cynipidae: Diplolepidini). Agroinform, 135-142. https://mbd-db.osu.edu/hol/publications/612933b9-f4cf-4bdc-8359-74d7bc74f118"
https://doi.org/10.32870/dugesiana.v23i2.5950,"Pujade-Villar, J., Roca-Cusachs, M. & Lobato-Vila, I. (2016). Descripción de las primeras especies de Synergus con hembras de 13 antenómeros para México (Hymenoptera: Cynipidae: Synergini). Dugesiana, 23 (2), 109–116. https://doi.org/10.32870/dugesiana.v23i2.5950"
https://www.raco.cat/index.php/ButlletiICHN/article/download/90489/410282,"Pujade-Villar, J., Serrano-Muñoz, M. & Villecas-Guzmán, G.A. (2015). Synergus mexicanus Gillette, 1896: una especie que incrementa el conflicto genérico (Hym., Cynipidae: Synergini). Butlletí de la Institució Catalana d’Història Natural, 79, 145–148. ISSN 1133-6889 https://www.raco.cat/index.php/ButlletiICHN/article/download/90489/410282"
https://www.raco.cat/index.php/ButlletiICHN/article/download/320137/410300,"Pujade-Villar, J. & Lobato-Vila, I. (2016). Synergus dugesi Ashmead, 1899 una espècie sinònima de S. mexicanus Gillette, 1896 (Hym., Cynipidae: Synergini). Butlletí de la Institució Catalana d’Història Natural, 80, 75–77. ISSN 2013-3987 https://www.raco.cat/index.php/ButlletiICHN/article/download/320137/410300"
https://doi.org/10.5565/rev/orsis.32,"Pujade-Villar, J. & Lobato-Vila, I. (2016). Synergus brevis (Weld, 1926), una nova sinonímia de S. mexicanus Gillette, 1896 (Hym., Cynipidae: Synergini). Orsis, 30, 63–65. https://doi.org/10.5565/rev/orsis.32"
https://doi.org/10.32870/dugesiana.v23i2.5950,"Pujade-Villar, J., Roca-Cusachs, M. & Lobato-Vila, I. (2016) Descripción de las primeras especies de Synergus con hembras de 13 antenómeros para México (Hymenoptera: Cynipidae: Synergini). Dugesiana, 23 (2), 109–116. https://doi.org/10.32870/dugesiana.v23i2.5950"
https://pdfs.semanticscholar.org/fc77/90362da7cc47f23b7a7b2af55fdd08a64f85.pdf,"Pujade-Villar, J. & Melika, G. (2005). Synergus castanopsidis (Beutenmüller, 1918) and Synergus mexicanus Gillette, 1896, two conflictive cynipid inquilines species from America (Hymenoptera, Cynipidae: Synergini). Boletín de la Sociedad Entomológica Aragonesa, 37, 215–218. https://pdfs.semanticscholar.org/fc77/90362da7cc47f23b7a7b2af55fdd08a64f85.pdf"
https://www.biodiversitylibrary.org/page/32620520,"Riley, C.V., & Walsh, B. (1869). The Lygodesmia pea gall. American Entomologist, 2, 73-74. https://www.biodiversitylibrary.org/page/32620520"
https://doi.org/10.4039/Ent119215-3,"Ritchie, A.J., & Shorthouse, J.D. (1987). Revision of the genus Synophromorpha Ashmead (Hymenoptera: Cynipidae). The Canadian Entomologist, 119(3), 215-230. https://doi.org/10.4039/Ent119215-3"
https://doi.org/10.1371/journal.pone.0123301,"Ronquist, F., Nieves-Aldrey, J.L., Buffington, M.L., Liu, Z., Liljeblad, J, Nylander, J.A.A. (2015). Phylogeny, Evolution and Classification of Gall Wasps. The Plot Thickens. PLoS ONE 10(5), e0123301. https://doi.org/10.1371/journal.pone.0123301"
https://www.biodiversitylibrary.org/page/16212258,"Schick, K., Liu, Z., & Goldstein, P. (2003). Phylogeny, historical biogeography, and macroevolution of host use among Diastrophus gall wasps (Hymenoptera: Cynipidae). Proceedings of the Entomological Society of Washington, 105, 715-732. https://www.biodiversitylibrary.org/page/16212258"
http://digital.slub-dresden.de/id392573954-18760000,"Schlechtendal, D.H.R. von (1877). Rhodites Mayri n. sp. und einige Farbenvarietäten von Rh. rosae L. Jahresbericht des Vereins für Naturkunde zu Zwickau, 1876, 59–62 + 1 plate. http://digital.slub-dresden.de/id392573954-18760000"
http://doi.org/10.11646/zootaxa.4054.1.1,"Schwéger, S., Melika, G., Tang, C.T., Yang, M.M., Stone, G.N., Nicholls, J.A., Sinclair, F., Hearn, J., Bozsó, M., Pénzes, Z. (2015). New species of cynipid inquilines of the genus Saphonecrus (Hymenoptera: Cynipidae: Synergini) from the Eastern Palaearctic, with a re-appraisal of known species world-wide. Zootaxa, 4054(1), 1. http://doi.org/10.11646/zootaxa.4054.1.1"
http://doi.org/10.4039/entm125165139-1,"Shorthouse, J.D. (1993). Adaptations of gall wasps of the genus Diplolepis (Hymenoptera: Cynipidae) and the role of gall anatomy in cynipid systematics. Memoirs of the Entomological Society of Canada, 125(S165), 139–163. http://doi.org/10.4039/entm125165139-1"
http://doi.org/10.17660/ActaHortic.2001.547.10,"Shorthouse, J.D. (2001). Galls induced by cynipid wasps of the genus Diplolepis (Hymenoptera: Cynipidae) on cultivated shrub roses in Canada. Acta Horticulturae, (547), 91-92. http://doi.org/10.17660/ActaHortic.2001.547.10"
http://doi.org/10.3752/9780968932148.ch12,"Shorthouse, J.D. (2010). Galls induced by cynipid wasps of the genus Diplolepis (Hymenoptera: Cynipidae) on the roses of Canada's grasslands. In Arthropods of Canadian Grasslands (Volume 1): Ecology and interactions in grasslands habitats. Edited by J.D. Shorthouse & K.D. Floate. Biological Survey of Canada. 251-279. ISBN 978-0-96689321-4-8. http://www.doi.org/10.3752/9780968932148.ch12"
https://doi.org/10.4039/ent1161623-12,"Shorthouse, J.D. & Ritchie, A.J. (1984). Description and biology of a new species of Diplolepis Fourcroy (Hymenoptera: Cynipidae) including galls on the stems of Rosa acicularis. The Canadian Entomologist, 116, 1623-1636. https://doi.org/10.4039/ent1161623-12"
https://www.biodiversitylibrary.org/page/2844786,"Tooker, J.F., Deans, A.R., & Hanks, L.M. (2004). Description of the Antistrophus rufus (Hymenoptera: Cynipidae) species complex, including two new species. Journal of Hymenoptera Research, 13, 125-133. https://www.biodiversitylibrary.org/page/2844786"
https://mbd-db.osu.edu/hol/publications/8f8ba042-f0b1-4f5b-a413-c56eff4ff026,"Tyurebaev, S.S. (1972). Gall-forming insects attacking Russian knapweed in the middle reaches of the R. Irtysh. Vestnik Sel'skokhozyaystvennoy Nauki 17(6), 52-53. https://mbd-db.osu.edu/hol/publications/8f8ba042-f0b1-4f5b-a413-c56eff4ff026"
https://doi.org/10.1603/an12114,"Wachi, N., Ide, T., & Abe, Y. (2013). Eastern palearctic occurrence of Diastrophus (Hymenoptera: Cynipidae: Aylacini) on Rubus bushes, with description of a new species. Annals of the Entomological Society of America, 106(3), 288-293. https://doi.org/10.1603/an12114"
https://www.biodiversitylibrary.org/page/57090740,"Walsh, B.D. (1864). On dimorphism in the hymenopterous genus Cynips; with an appendix, containing hints for a new classification of Cynipidae and a list of Cynipidae, including descriptions of several new species, inhabiting the oak-galls of Illinois. Proceedings of the Entomological Society of Philadelphia, 2, 443–500. https://www.biodiversitylibrary.org/page/57090740"
https://www.biodiversitylibrary.org/page/32620520,"Walsh, B. D. (1869). Galls and their architects. The American Entomologist, 1(6). https://www.biodiversitylibrary.org/page/32620520"
https://www.biodiversitylibrary.org/page/53922755,"Wangberg, J. K. (1975). Biology of the thimbleberry gallmaker Diastrophus kincaidii (Hymenoptera: Cynipidae). Pan-Pacific Entomologist 51(1), 39-48. https://www.biodiversitylibrary.org/page/53922755"
